               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 109,            0.035072,            0.037944,           0.0057032,             0.91268,             0.89565,             0.95648,             0.69178,            0.029899,            0.020272,           0.0033891,            0.006436,            0.006436,            0.006436
                 110,            0.033808,            0.038428,           0.0055206,              0.9299,               0.888,             0.95797,             0.71031,            0.027914,            0.019825,           0.0033423,            0.006403,            0.006403,            0.006403
                 111,            0.032634,            0.037183,            0.005803,             0.90108,             0.89853,             0.95796,             0.69937,            0.029098,            0.020122,           0.0032858,             0.00637,             0.00637,             0.00637
                 112,            0.034857,             0.03598,           0.0055005,             0.88053,             0.93833,             0.96013,             0.71011,            0.029681,            0.020107,           0.0032146,            0.006337,            0.006337,            0.006337
                 113,            0.035714,            0.040764,           0.0050914,             0.89407,             0.93065,              0.9627,             0.71509,            0.029564,            0.020178,           0.0031576,            0.006304,            0.006304,            0.006304
                 114,            0.032674,            0.034784,           0.0051404,             0.88729,             0.93128,             0.96302,             0.72302,             0.02854,            0.019813,            0.003142,            0.006271,            0.006271,            0.006271
                 115,            0.033826,            0.040588,           0.0052469,             0.88027,             0.93748,             0.96061,               0.719,            0.029782,            0.019818,           0.0031401,            0.006238,            0.006238,            0.006238
                 116,            0.034617,            0.036185,           0.0055141,             0.91172,             0.90848,              0.9566,             0.69535,            0.029732,            0.019748,           0.0031481,            0.006205,            0.006205,            0.006205
                 117,            0.035019,            0.037964,           0.0053038,             0.90234,             0.90989,             0.94749,             0.69578,            0.030149,            0.019796,            0.003137,            0.006172,            0.006172,            0.006172
                 118,            0.035584,            0.036357,           0.0050051,             0.92063,             0.91318,             0.95076,             0.71987,            0.028541,            0.019513,           0.0031532,            0.006139,            0.006139,            0.006139
                 119,            0.031912,             0.03699,           0.0053087,             0.91782,             0.90354,             0.95183,             0.71304,            0.029235,            0.019558,           0.0031653,            0.006106,            0.006106,            0.006106
                 120,            0.034977,            0.039745,           0.0050731,             0.91918,              0.9146,             0.96301,             0.70715,            0.030163,            0.019625,           0.0031288,            0.006073,            0.006073,            0.006073
                 121,            0.035061,            0.039976,           0.0056621,             0.92734,              0.8986,             0.95996,                0.73,            0.028415,            0.019448,           0.0031419,             0.00604,             0.00604,             0.00604
                 122,            0.033277,            0.038818,           0.0051047,             0.93087,             0.89526,             0.95831,             0.73087,            0.027956,            0.019412,           0.0031451,            0.006007,            0.006007,            0.006007
                 123,            0.032791,            0.036939,           0.0052314,             0.92973,              0.8939,             0.95933,             0.73304,            0.026922,            0.019289,           0.0031158,            0.005974,            0.005974,            0.005974
                 124,            0.032273,            0.033005,           0.0057299,             0.92355,             0.89416,             0.95776,             0.74889,            0.027098,            0.019168,           0.0030749,            0.005941,            0.005941,            0.005941
                 125,            0.032972,            0.043073,           0.0051759,             0.93273,             0.89232,             0.95218,             0.72801,             0.02821,            0.019285,           0.0030456,            0.005908,            0.005908,            0.005908
                 126,            0.032878,             0.03256,           0.0057165,                0.92,             0.90012,             0.95976,             0.70916,             0.02902,            0.019209,           0.0030457,            0.005875,            0.005875,            0.005875
                 127,            0.033716,             0.03413,           0.0049108,             0.92406,             0.90052,             0.96154,             0.68971,            0.030604,            0.019536,           0.0030497,            0.005842,            0.005842,            0.005842
                 128,            0.035666,             0.03856,           0.0052386,             0.92466,             0.90195,             0.96526,             0.71688,            0.028189,            0.019179,           0.0030591,            0.005809,            0.005809,            0.005809
                 129,            0.032842,            0.039662,           0.0047741,             0.88478,             0.94077,             0.96333,             0.73026,             0.02703,            0.019005,           0.0030404,            0.005776,            0.005776,            0.005776
                 130,            0.032159,            0.035033,           0.0055441,             0.87774,             0.93072,             0.95842,             0.72314,             0.02938,             0.01937,           0.0030368,            0.005743,            0.005743,            0.005743
                 131,            0.034003,            0.037257,           0.0048495,             0.88336,             0.92204,             0.96011,             0.70858,            0.029604,            0.019773,           0.0030558,             0.00571,             0.00571,             0.00571
                 132,            0.032474,            0.033622,           0.0048333,             0.92663,             0.89826,             0.96244,             0.73383,             0.02654,            0.019018,            0.003079,            0.005677,            0.005677,            0.005677
